Data,Cota,Chuva
0101,122,0
0201,121,0
0301,121,0
0401,120,0
0501,121,0.4
0601,121,3.9
0701,120,0
0801,120,0
0901,119,0
1001,119,0
1101,118,0
1201,118,0
1301,118,0
1401,118,0
1501,118,0
1601,118,0
1701,117,0
1801,117,0
1901,116,0
2001,116,0
2101,116,0
2201,115,0
2301,115,0
2401,115,0
2501,115,0
2601,116,0.6
2701,116,0
2801,126,3.8
2901,133,0.6
3001,121,0
3101,116,0
0102,117,2
0202,123,0
0302,120,0
0402,118,0
0502,117,1.5
0602,116,0
0702,115,0
0802,115,0
0902,114,0
1002,113,0
1102,113,0
1202,112,0
1302,111,0
1402,111,0
1502,111,0
1602,110,0
1702,110,0
1802,110,0
1902,110,0
2002,110,0
2102,110,0
2202,110,0
2302,109,0
2402,109,0
2502,109,0
2602,111,0.1
2702,112,0
2802,140,9.2
2902,121,23.7
3002,112,0
3102,116,0
0103,108,0
0203,108,0
0303,107,0
0403,107,0
0503,107,0
0603,106,0
0703,106,0
0803,106,0
0903,106,0
1003,107,1.7
1103,107,3.3
1203,107,0
1303,132,20.8
1403,133,0
1503,113,0
1603,109,0
1703,107,0
1803,108,0
1903,108,0
2003,103,0
2103,103,0
2203,102,0
2303,102,0
2403,101,0
2503,100,0
2603,100,0
2703,100,0
2803,100,0
2903,136,18.6
3003,125,4.9
3103,110,
0104,131,0.3
0204,113,0
0304,105,0
0404,104,0
0504,102,0
0604,101,0
0704,100,0
0804,99,0
0904,98,0
1004,97,0
1104,97,0
1204,97,0
1304,102,3.5
1404,105,0
1504,99,0
1604,97,0
1704,96,0
1804,99,4.1
1904,100,7.6
2004,105,0
2104,102,0
2204,101,0
2304,100,0
2404,99,2.9
2504,99,0
2604,101,12.4
2704,110,0
2804,140,11
2904,129,1.8
3004,130,0
3104,110,25.7
0105,122,10.2
0205,107,0
0305,103,0
0405,153,33.3
0505,116,2.1
0605,123,0
0705,110,0
0805,103,0
0905,101,0
1005,118,18.7
1105,188,66.7
1205,159,10.6
1305,128,0
1405,116,0
1505,113,0
1605,108,0
1705,106,0
1805,104,0
1905,102,0
2005,101,0
2105,100,0
2205,135,3.2
2305,180,28.4
2405,161,1.1
2505,201,34.7
2605,168,0
2705,181,15.7
2805,143,1.2
2905,129,2.4
3005,124,0
3105,,
0106,117,0
0206,114,0
0306,112,0.8
0406,120,0.4
0506,116,0
0606,120,1.9
0706,119,5.6
0806,117,5.8
0906,157,25.1
1006,160,0
1106,142,0
1206,127,3.4
1306,120,7.1
1406,196,3.6
1506,225,18
1606,185,24.3
1706,305,82
1806,191,11.2
1906,143,0
2006,138,4.6
2106,145,8.4
2206,205,84.5
2306,152,10.5
2406,152,42.1
2506,294,71.2
2606,313,42.7
2706,326,39.1
2806,237,1.4
2906,179,0
3006,165,0
3106,,0
0107,231,10.5
0207,187,5.4
0307,160,0
0407,161,17
0507,170,1
0607,153,0
0707,148,1.1
0807,143,0
0907,140,0.3
